lp_id,lp_name,country,cable_count
dumai-indonesia,"Dumai, Indonesia",Indonesia,7
genoa-italy,"Genoa, Italy",Italy,7
mombasa-kenya,"Mombasa, Kenya",Kenya,7
doha-qatar,"Doha, Qatar",Qatar,6
accra-ghana,"Accra, Ghana",Ghana,6
abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,6
tseung-kwan-o-china,"Tseung Kwan O, China",China,6
abu-talat-egypt,"Abu Talat, Egypt",Egypt,6
cancn-mexico,"Cancún, Mexico",Mexico,6
pentaskhinos-cyprus,"Pentaskhinos, Cyprus",Cyprus,6
aqaba-jordan,"Aqaba, Jordan",Jordan,6
cartagena-colombia,"Cartagena, Colombia",Colombia,6
satun-thailand,"Satun, Thailand",Thailand,6
changi-singapore,"Changi, Singapore",Singapore,6
willemstad-curaao,"Willemstad, Curaçao",Curaçao,6
yeroskipos-cyprus,"Yeroskipos, Cyprus",Cyprus,6
makassar-indonesia,"Makassar, Indonesia",Indonesia,6
tanguisson-point-guam,"Tanguisson Point, Guam",Guam,6
chung-hom-kok-china,"Chung Hom Kok, China",China,6
valparaso-chile,"Valparaíso, Chile",Chile,6
suez-egypt,"Suez, Egypt",Egypt,6
salalah-oman,"Salalah, Oman",Oman,6
libreville-gabon,"Libreville, Gabon",Gabon,5
penang-malaysia,"Penang, Malaysia",Malaysia,5
barranquilla-colombia,"Barranquilla, Colombia",Colombia,5
perth-wa-australia,"Perth, WA, Australia",Australia,5
lowestoft-united-kingdom,"Lowestoft, United Kingdom",United Kingdom,5
santos-brazil,"Santos, Brazil",Brazil,5
kuwait-city-kuwait,"Kuwait City, Kuwait",Kuwait,5
changi-south-singapore,"Changi South, Singapore",Singapore,5
st-croix-virgin-islands-virgin-islands-u-s-,"St. Croix, Virgin Islands, Virgin Islands (U.S.)",Virgin Islands (U.S.),5
darwin-nt-australia,"Darwin, NT, Australia",Australia,5
dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",Tanzania,5
dakar-senegal,"Dakar, Senegal",Senegal,5
sesimbra-portugal,"Sesimbra, Portugal",Portugal,5
chania-greece,"Chania, Greece",Greece,5
chaguaramas-trinidad-and-tobago,"Chaguaramas, Trinidad and Tobago",Trinidad and Tobago,5
kristiansand-norway,"Kristiansand, Norway",Norway,5
hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",United States,5
tinian-northern-mariana-islands,"Tinian, Northern Mariana Islands",Northern Mariana Islands,5
kapolei-hi-united-states,"Kapolei, HI, United States",United States,5
puerto-barrios-guatemala,"Puerto Barrios, Guatemala",Guatemala,5
praia-cape-verde,"Praia, Cape Verde",Cape Verde,5
duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,5
catania-italy,"Catania, Italy",Italy,5
port-sudan-sudan,"Port Sudan, Sudan",Sudan,5
mersing-malaysia,"Mersing, Malaysia",Malaysia,5
al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia,5
yanbu-saudi-arabia,"Yanbu, Saudi Arabia",Saudi Arabia,5
myrtle-beach-sc-united-states,"Myrtle Beach, SC, United States",United States,5
los-angeles-ca-united-states,"Los Angeles, CA, United States",United States,4
grover-beach-ca-united-states,"Grover Beach, CA, United States",United States,4
alexandria-egypt,"Alexandria, Egypt",Egypt,4
tel-aviv-israel,"Tel Aviv, Israel",Israel,4
isla-verde-pr-united-states,"Isla Verde, PR, United States",United States,4
tympaki-greece,"Tympaki, Greece",Greece,4
chongming-china,"Chongming, China",China,4
ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,4
hachijo-japan,"Hachijo, Japan",Japan,4
gedser-denmark,"Gedser, Denmark",Denmark,4
funchal-portugal,"Funchal, Portugal",Portugal,4
lurin-peru,"Lurin, Peru",Peru,4
luwuk-indonesia,"Luwuk, Indonesia",Indonesia,4
berbera-somalia,"Berbera, Somalia",Somalia,4
taytay-philippines,"Taytay, Philippines",Philippines,4
mtunzini-south-africa,"Mtunzini, South Africa",South Africa,4
flying-fish-cove-christmas-island,"Flying Fish Cove, Christmas Island",Christmas Island,4
hanko-finland,"Hanko, Finland",Finland,4
port-moresby-papua-new-guinea,"Port Moresby, Papua New Guinea",Papua New Guinea,4
tartous-syria,"Tartous, Syria",Syria,4
bari-italy,"Bari, Italy",Italy,4
homer-ak-united-states,"Homer, AK, United States",United States,4
tanah-merah-singapore,"Tanah Merah, Singapore",Singapore,4
hollywood-fl-united-states,"Hollywood, FL, United States",United States,4
morro-bay-ca-united-states,"Morro Bay, CA, United States",United States,4
cherating-malaysia,"Cherating, Malaysia",Malaysia,4
al-faw-iraq,"Al Faw, Iraq",Iraq,4
moroni-comoros,"Moroni, Comoros",Comoros,4
batangas-philippines,"Batangas, Philippines",Philippines,4
al-seeb-oman,"Al Seeb, Oman",Oman,4
hillsboro-or-united-states,"Hillsboro, OR, United States",United States,4
kupang-indonesia,"Kupang, Indonesia",Indonesia,4
cagayan-de-oro-philippines,"Cagayan de Oro, Philippines",Philippines,4
melaka-malaysia,"Melaka, Malaysia",Malaysia,4
virginia-beach-va-united-states,"Virginia Beach, VA, United States",United States,4
ketchikan-ak-united-states,"Ketchikan, AK, United States",United States,4
